verb;usage;transFr;transEn;yellow
мыслить;;raisonner;think (of, about);not movement
набирать\slash набрать;;ramasser;gather;not movement
наблюдать;;observer;watch;not movement
наблюдаться\slash наблюдать;;se voir;be observed;not movement
навещать\slash навестить;;visiter;visit;not movement
нагружать\slash нагрузить;;charger;load (with);not movement
наедаться\slash наесться;;se lester;eat one's fill;not movement
наказывать\slash наказать;;punir;punish;not movement
накладывать\slash наложить;;mettre sur;lay (on);not movement
накрывать\slash накрыть;;couvrir de;cover (with);not movement
намереваться\slash намериться;;avoir l'intention de;intend;movement aspect unset
намечать\slash наметить;;marquer;design;not movement
нанимать\slash нанять;;louer;hire;not movement
наносить\slash нанести;;apporter une quantité de;drift (on);not movement
нападать\slash напасть;;напасть I;attack;movement
напиваться\slash напиться;;étancher sa soif;drink;not movement
наполнять\slash наполнить;;remplir;fill;not movement
направлять\slash направить;;diriger;direct (at, to);not movement
направляться\slash направиться;;se diriger;make;not movement
напрягаться\slash напрячься;;faire des efforts;strain / exert oneself;not movement
нарастать\slash нарасти;;croître;grow (on);movement
нарезать\slash -;;couper;cut (into pieces);not movement
наряжать\slash нарядить;;habiller;dress (up, out);not movement
насиловать\slash из-;;violer;violate;not movement
наслаждаться\slash насладиться;;jouir de;enjoy;not movement
наследовать;;hériter de;inherit;not movement
настаивать\slash настоять;;insister sur;insist;movement
настраивать\slash настроить;;accorder;tune (up, in);not movement
натягивать\slash натянуть;;tendre;stretch;not movement
находиться\slash найтись;;se retrouver;be found;not movement
недооценивать\slash недооценить;;Sous-estimer;underestimate;not movement
нервировать;;énerver;make smb. nervous;not movement
нервничать;;être nerveux;be / feel nervous;movement
нуждаться;;avoir besoin (de, de);be in need / want (of);not movement
нырять\slash нырнуть;;plonger;dive;movement
обвинять\slash обвинить;;accuser (de);accuse (of);not movement
обдумывать\slash обдумать;;bien méditer;consider;not movement
обеспечивать\slash обеспечить;;pourvoir;provide (for, with);not movement
обижать\slash обидеть;;vexer;offend (smb.);not movement
обладать;;posséder;possess;movement
обмениваться\slash обменяться;;échanger;take smth. by mistake;not movement
обнимать\slash обнять;;serrer dans ses bras;embrace;not movement
обновлять\slash обновить;;renouveler;renew;not movement
обожать;;adorer;adore;not movement
обозначать\slash обозначить;;marquer;denote;not movement
оборачиваться\slash обернуться;;se retourner;turn (round);not movement
обосновывать\slash обосновать;;argumenter;(give) prove;not movement
обосраться;;;;movement aspect unset
образовывать\slash образовать;;organiser;form;not movement
образовываться\slash образоваться;;se former;form;not movement
обслуживать\slash обслужить;;desservir;serve;not movement
обучать\slash обучить;;apprendre à;teach (smb. smth.);not movement
