verb;transFR
продумывать\slash продумать;examiner
производиться\slash произвестися;faire
пролетать\slash пролететь;survoler
пропускать\slash пропустить;laisser passer
прославляться\slash прославиться;se rendre célèbre
протестовать\slash за-;protester
противиться\slash вос-;s'opposer à
протягивать\slash протянуть;tendre
проявлять\slash проявить;manifester
прятаться\slash с-;se cacher
публиковать\slash о-;publier annoncer
пугать\slash пугаться;faire peur (à)
пускать\slash пустить;laisser
путать;embrouiller
пылиться\slash напылить;se couvrir de pou
пытаться\slash по-;tenter
радовать\slash об-;réjouir
радоваться\slash об-;se réjouir
разбирать\slash разобрать;prendre
разбираться\slash разобраться;ranger des affair
развивать\slash развить;développer
развиваться\slash развиться;se développer
развлекать\slash развлечь;distraire
разворачиваться\slash развернуться;se déployer
разглашать\slash разгласить;divulguer
разделять\slash разделить;diviser
разделяться\slash разделиться;se diviser (en)
раздражать\slash раздражить;irriter
разливаться\slash разлиться;se répandre
размещать\slash разместить;placer
размышлять\slash размыслить;réfléchir (sur)
разочаровывать\slash разочаровать;décevoir
разрабатывать\slash разработать;cultiver
разрушать\slash разрушить;détruire
разрывать\slash разорвать;déchirer
разъединять\slash разъединить;séparer
разыгрывать\slash разыграть;jouer
разыскивать\slash разыскать;chercher
ранить\slash по-;blesser
раскаиваться\slash раскаяться;se repentir (de)
раскачиваться\slash раскачаться;se balancer
раскрывать\slash раскрыть;ouvrir
распознавать\slash распознать;discerner
располагаться\slash расположиться;s'installer
распределять\slash распределить;distribuer
распространять\slash распространить;diffuser
распространяться\slash распространиться;se répandre
расследовать;examiner
рассматривать\slash рассмотреть;envisager
расспрашивать\slash расспросить;questionner sur
расставаться\slash расстаться;se séparer (de)
расстраивать\slash расстроить;déranger
расстреливать\slash расстрелять;fusiller
рассуждать;raisonner
рассчитывать\slash рассчитать;calculer
рассчитываться\slash рассчитаться;régler ses compte
рассыпаться\slash -;se répandre
растворять\slash растворить;ouvrir
растеряться;se perdre
расходовать\slash из-;dépenser
расчесывать\slash расчесать;démêler
расширять\slash расширить;élargir
рвать\slash рваться;arracher
рваться\slash рвать;se déchirer
реагировать\slash от-;réagir
реализовывать\slash реализовать;réaliser
реализовываться\slash реализовать;réaliser
регистрировать\slash за-;enregistrer
регулировать;régler
редактировать\slash от-;revoir
резюмировать;résumer
рекомендовать\slash по-;recommander
реформировать;réformer
решаться\slash решиться;être décidé
ржаветь\slash за-;se rouiller
рисковать\slash рискнуть;risquer
ронять\slash уронить;laisser tomber
рубить\slash на-;abattre
руководить;diriger
рулить;manœuvrer le gouv
рыдать;sangloter
сажать\slash посадить;planter
сбегать\slash сбежать;courir
сбивать\slash сбить;abattre
сверкать\slash сверкнуть;étinceler
свистеть\slash свистнуть;siffler
сворачивать\slash своротить;rouler
связывать\slash связать;связать 1
сгорать\slash сгореть;être brûlé
сдавать\slash сдать;remettre
сдерживать\slash сдержать;retenir
сжигать\slash сжечь;brûler
сжимать\slash сжать;сжать I
сигнализировать;donner des signau
скользить\slash скользнуть;glisser
следить\slash про-;suivre
слушаться\slash по-;obéir à
смущать\slash смутить;troubler
снижать\slash снизить;abaisser
снижаться\slash снизиться;baisser
сниться\slash при-;rêver
сносить\slash снести;user
собираться\slash собраться;se rassembler
совершать\slash совершить;accomplir
совершаться\slash совершиться;s'accomplir
совмещать\slash совместить;faire coïncider
совокупляться\slash совокупиться;s'accoupler
совпадать\slash совпасть;coïncider
содействовать\slash по-;aider à
содержать;entretenir
содержаться\slash содержать;être
сожалеть;regretter
создаваться\slash создаться;se former
сообщаться\slash сообщиться;se communiquer
соответствовать;correspondre à
сопровождать\slash сопроводить;accompagner
сопротивляться;résister
сортировать\slash рас-;trier
сосать;sucer
сосредоточиваться\slash сосредоточиться;se concentrer
состоять;être
сотрудничать;collaborer
сохраняться\slash сохраниться;se conserver
сочетаться;s'unir
сочинять\slash сочинить;écrire
специализироваться;se spécialiser
списывать\slash списать;copier
спорить\slash по-;discuter
справляться\slash справиться;venir à bout de
ссориться\slash по-;se quereller
стареть\slash по-;vieillir
стартовать;prendre le départ
стелить;étendre
стесняться\slash по-;se gêner
стимулировать;stimuler
стонать\slash про-;gémir
страдать\slash по-;souffrir
стрелять\slash выстрелить;faire feu
стремиться\slash стремить;aspirer à
судить;juger
суммировать;faire le total
существовать;exister
считать\slash счесть;compter
съезжать\slash съехать;descendre
сыпать;verser
таять\slash рас-;fondre
тереть\slash по-;frotter
тестировать;tester
тонуть\slash у-;se noyer
топить\slash ис-;chauffer
тосковать;languir
транслировать;retransmettre
требовать\slash по-;exiger
трясти\slash тряхнуть;secouer
трястись\slash тряхнуть;trembler (de, grel
тушить\slash по-;éteindre
тянуться\slash по-;s’étirer
убеждать\slash убедить;convaincre de
убеждаться\slash убедиться;se convaincre de
увлекать\slash увлечь;entraîner
увольняться\slash уволиться;démissionner
угрожать;menacer de
удаваться\slash удаться;réussir
удалять\slash удалить;éloigner
удаляться\slash удалиться;s'éloigner
удваивать\slash удвоить;doubler
удерживать\slash удержать;retenir
удерживаться\slash удержаться;se retenir
удовлетворять\slash удовлетворить;satisfaire
удостоверять\slash удостоверить;certifier
укладывать\slash уложить;mettre
укорачивать\slash укоротить;raccourcir
укреплять\slash укрепить;affermir
укрывать\slash укрыть;couvrir
умолять\slash умолить;implorer
уничтожать\slash уничтожить;détruire
упрощать\slash упростить;simplifier
усаживаться\slash усесться;s'asseoir
усваивать\slash усвоить;s'assimiler
ускорять\slash ускорить;accélérer
устраиваться\slash устроиться;s'installer
устранять\slash устранить;écarter
уступать\slash уступить;céder
усыпать;couvrir
утешать\slash утешить;consoler
уточнять\slash уточнить;préciser
учитывать\slash учесть;tenir compte de
финансировать;financer
флиртовать;flirter
фокусировать\slash с-;focaliser
формировать\slash с-;former
формироваться\slash с-;se former
формулировать\slash с-;formuler
функционировать;fonctionner
хвастаться\slash по-;se vanter
хлопать\slash по-;claquer
хоронить\slash с-;enterrer
хохотать\slash за-;rire (aux éclats)
храпеть;ronfler
худеть\slash по-;maigrir
цвести;fleurir
ценить\slash о-;évaluer
циркулировать;circuler
цитировать\slash про-;citer
чертить\slash на-;tracer
чесать\slash по-;peigner
чувствоваться\slash перечувствовать;ressentir
шептать\slash про-;chuchoter
шокировать;choquer
щелкать\slash щелкнуть;faire claquer
экспортировать;exporter
