verb;transFR
отводить\slash отвести;mener
отвозить\slash отвезти;porter
отгадывать\slash отгадать;deviner
отдавать\slash отдать;rendre
отдыхать\slash отдохнуть;se reposer
отказывать\slash отказать;refuser à
отказываться\slash отказаться;refuser
отключать\slash отключить;débrancher
открывать\slash открыть;ouvrir
открываться\slash открыться;s'ouvrir
отличать\slash отличить;établir la différ
отличаться\slash отличиться;se distinguer
отменять\slash отменить;supprimer
отмечать\slash отметить;marquer
относить\slash отнести;porter
отправлять\slash отправить;envoyer
отрывать\slash оторвать;détacher
отставать\slash отстать;rester en arrière
отсутствовать;manquer
отходить\slash отойти;s'éloigner
оформлять\slash оформить;donner une forme 
охранять\slash охранить;garder
очищать\slash очистить;nettoyer
ошибаться\slash ошибиться;se tromper
падать\slash пасть;tomber
падать\slash упасть;tomber
паковать\slash у-;emballer
парковать\slash при-;parquer
пахнуть;sentir
переводить\slash перевести;conduire
передавать\slash передать;transmettre
передвигать\slash передвинуть;déplacer
переезжать\slash переехать;passer
перекусывать\slash перекусить;couper
переносить\slash перенести;transporter
пересказывать\slash пересказать;raconter
переспрашивать\slash переспросить;prier de répéter
переставать\slash перестать;cesser (de)
переходить\slash перейти;passer
петь\slash с-;chanter
печатать\slash на-;imprimer
писать\slash на-;écrire
пить\slash вы-;boire
плавать;nager
плакать\slash за-;se mettre à pleur
планировать\slash за-;планировать II
планировать\slash с-;arrêter
платить\slash у-;payer
плыть;flotter
побеждать\slash победить;vaincre
поворачивать\slash повернуть;tourner
поворачиваться\slash повернуться;se tourner
повторять\slash повторить;répéter
повышать\slash повысить;hausser
повышаться\slash повыситься;hausser
подавать\slash подать;taille
подвигаться\slash подвинуться;remuer un peu
подготавливать\slash подготовить;préparer
поднимать\slash поднять;lever
подниматься\slash подняться;se lever
подождать;attendre
подписывать\slash подписать;signer
подсказывать\slash подсказать;souffler
подходить\slash подойти;s'approcher de
подчеркивать\slash подчеркнуть;souligner
подъезжать\slash подъехать;arriver
поедать\slash поесть;manger
пожимать\slash пожать;presser
поздравлять\slash поздравить;féliciter à l'occ
показывать\slash показать;montrer
покупать\slash купить;acheter
получать\slash получить;recevoir
получаться\slash получиться;venir
пользоваться\slash вос-;jouir de
помнить;se souvenir de
помогать\slash помочь;assister
понимать\slash понять;comprendre
поправлять\slash поправить;réparer
портить\slash ис-;gâter
портиться\slash ис-;casser
поступать\slash поступить;agir
посылать\slash послать;envoyer
потеть\slash вс-;suer
почитать\slash почтить;respecter
праздновать\slash от-;fêter
практиковаться\slash практиковать;s'employer
предлагать\slash предложить;offrir
представлять\slash представить;présenter
представляться\slash представиться;se présenter
предупреждать\slash предупредить;prévenir
предъявлять\slash предъявить;présenter
прекращать\slash прекратить;cesser
прекращаться\slash прекратиться;cesser
преподавать\slash преподать;enseigner
прибегать\slash прибежать;accourir
прибивать\slash прибить;clouer
приближаться\slash приблизиться;s'approcher de
прибывать\slash прибыть;arriver
приветствовать;saluer
приводить\slash привести;amener
привозить\slash привезти;amener
привыкать\slash привыкнуть;s'habituer à
приглашать\slash пригласить;inviter à
придумывать\slash придумать;inventer
приезжать\slash приехать;arriver
приземляться\slash приземлиться;atterrir
прикреплять\slash прикрепить;fixer
прилетать\slash прилететь;arriver
применять\slash применить;appliquer
применяться\slash примениться;se conformer
принадлежать;appartenir
принимать\slash принять;recevoir
приносить\slash принести;apporter
присутствовать;assister à
присылать\slash прислать;envoyer
приходить\slash прийти;venir
пробовать\slash по-;essayer
проверять\slash проверить;vérifier
проводить\slash провести;conduire
провожать\slash проводить;проводить II
проглатывать\slash проглотить;avaler
программировать\slash за-;programmer
продавать\slash продать;vendre
продлевать\slash продлить;prolonger
продолжать\slash продолжить;continuer
продолжаться\slash продолжиться;durer
проезжать\slash проехать;passer
проживать\slash прожить;vivre
проигрывать\slash проиграть;perdre
производить\slash произвести;faire
произносить\slash произнести;prononcer
происходить\slash произойти;avoir lieu
промалчивать\slash промолчать;se taire
прописывать\slash прописать;ordonner
прорабатывать\slash проработать;fignoler
просить\slash по-;demander
простужаться\slash простудиться;prendre froid
просыпать\slash проспать;dormir
просыпаться\slash -;se répandre
проходить\slash пройти;passer
прочитывать\slash прочитать;lire
прощать\slash простить;pardonner
прощаться\slash проститься;faire ses adieux 
прыгать\slash по-;sauter
прятать\slash с-;cacher
путешествовать;voyager
работать;travailler
радоваться\slash об-;se réjouir de
разбивать\slash разбить;casser
разбиваться\slash разбиться;se casser
развешивать\slash развесить;peser
разводиться\slash развестись;divorcer
разворачивать\slash развернуть;разворотить
развязывать\slash развязать;défaire
разговаривать;causer avec
раздавать\slash раздать;distribuer (parmi
раздеваться\slash раздеться;se déshabiller
различать\slash различить;distinguer
различаться\slash различить;différer en
разменивать\slash разменять;changer
