verb;usage;transFr;transEn;yellow
отдыхать\slash отдохнуть;;se reposer;rest;1
отказывать\slash отказать;;refuser à;refuse (smth. to smb.);0
отказываться\slash отказаться;;refuser;refuse;0
отключать\slash отключить;;débrancher;cut off;0
открывать\slash открыть;;ouvrir;open;0
открываться\slash открыться;;s'ouvrir;open;0
отличать\slash отличить;;établir la différence (entre);distinguish (from);0
отличаться\slash отличиться;;se distinguer;differ (from);0
отменять\slash отменить;;supprimer;abolish;0
отмечать\slash отметить;;marquer;mark;0
относить\slash отнести;;porter;take (to);0
отправлять\slash отправить;;envoyer;send;0
отрывать\slash оторвать;;détacher;tear / pull / turn off / away;0
отставать\slash отстать;;rester en arrière;lag / fall / remain behind;1
отсутствовать;;manquer;be absent;1
отходить\slash отойти;;s'éloigner;go (away, aside);0
оформлять\slash оформить;;donner une forme à;form;0
охранять\slash охранить;;garder;guard / protect (from, against);0
очищать\slash очистить;;nettoyer;clean;0
ошибаться\slash ошибиться;;se tromper;be mistaken;0
падать\slash пасть;;tomber;fall;1
падать\slash упасть;;tomber;fall;1
паковать\slash у-;;emballer;pack;0
парковать\slash при-;;parquer;park;0
пахнуть;;sentir;smell (of);1
переводить\slash перевести;;conduire;lead;0
передавать\slash передать;;transmettre;pass;0
передвигать\slash передвинуть;;déplacer;move;0
переезжать\slash переехать;;passer;cross;1
перекусывать\slash перекусить;;couper;cut / bite through;0
переносить\slash перенести;;transporter;transfer;0
пересказывать\slash пересказать;;raconter;retell;0
переспрашивать\slash переспросить;;prier de répéter;ask again;0
переставать\slash перестать;;cesser (de);stop;1
переходить\slash перейти;;passer;cross;1
петь\slash с-;;chanter;sing;0
печатать\slash на-;;imprimer;print;0
писать\slash на-;;écrire;write;0
пить\slash вы-;;boire;drink;0
плавать;;nager;swim;1
плакать\slash за-;;se mettre à pleurer;begin to cry;0
планировать\slash за-;;планировать II;plan;0
планировать\slash с-;;arrêter;plan;1
платить\slash у-;;payer;pay;0
плыть;;flotter;swim;1
побеждать\slash победить;;vaincre;be victorious (over);0
поворачивать\slash повернуть;;tourner;turn;0
поворачиваться\slash повернуться;;se tourner;turn;0
повторять\slash повторить;;répéter;repeat;0
повышать\slash повысить;;hausser;raise;0
повышаться\slash повыситься;;hausser;rise;0
подавать\slash подать;;taille;give (to);0
подвигаться\slash подвинуться;;remuer un peu;move;0
подготавливать\slash подготовить;;préparer;prepare (for);0
поднимать\slash поднять;;lever;lift;0
подниматься\slash подняться;;se lever;rise;0
подождать;;attendre;wait (for);1
подписывать\slash подписать;;signer;sign;0
подсказывать\slash подсказать;;souffler;prompt (to);0
подходить\slash подойти;;s'approcher de;approach;1
подчеркивать\slash подчеркнуть;;souligner;underline;0
подъезжать\slash подъехать;;arriver;drive / ride / draw / pull up;1
поедать\slash поесть;;manger;поедать;0
пожимать\slash пожать;;presser;press;0
поздравлять\slash поздравить;;féliciter à l'occasion de;congratulate (on);0
показывать\slash показать;;montrer;show (to);0
покупать\slash купить;;acheter;buy;0
получать\slash получить;;recevoir;receive;0
получаться\slash получиться;;venir;come in;0
пользоваться\slash вос-;;jouir de;(make) use (of);0
помнить;;se souvenir de;remember;0
помогать\slash помочь;;assister;help;1
понимать\slash понять;;comprendre;understand;0
поправлять\slash поправить;;réparer;repair;0
портить\slash ис-;;gâter;spoil;0
портиться\slash ис-;;casser;deteriorate;0
поступать\slash поступить;;agir;act;1
посылать\slash послать;;envoyer;send;0
потеть\slash вс-;;suer;вспотеть;1
почитать\slash почтить;;respecter;esteem;0
праздновать\slash от-;;fêter;celebrate;0
практиковаться\slash практиковать;;s'employer;practise;0
предлагать\slash предложить;;offrir;offer;0
представлять\slash представить;;présenter;present;0
представляться\slash представиться;;se présenter;occur;0
предупреждать\slash предупредить;;prévenir;give notice (of);0
предъявлять\slash предъявить;;présenter;present;0
прекращать\slash прекратить;;cesser;stop;0
прекращаться\slash прекратиться;;cesser;end;0
преподавать\slash преподать;;enseigner;teach (to);0
прибегать\slash прибежать;;accourir;come running;1
прибивать\slash прибить;;clouer;fasten;0
приближаться\slash приблизиться;;s'approcher de;draw / come near;0
прибывать\slash прибыть;;arriver;arrive;1
приветствовать;;saluer;greet;0
приводить\slash привести;;amener;bring;0
привозить\slash привезти;;amener;bring;0
привыкать\slash привыкнуть;;s'habituer à;get/be accustomed;1
приглашать\slash пригласить;;inviter à;invite;0
придумывать\slash придумать;;inventer;think out;0
приезжать\slash приехать;;arriver;arrive;1
приземляться\slash приземлиться;;atterrir;land;0
прикреплять\slash прикрепить;;fixer;fasten (to);0
прилетать\slash прилететь;;arriver;arrive (by air);1
применять\slash применить;;appliquer;apply;0
применяться\slash примениться;;se conformer;adapt oneself (to);0
принадлежать;;appartenir;belong (to);1
принимать\slash принять;;recevoir;accept;0
приносить\slash принести;;apporter;bring;0
присутствовать;;assister à;be present (at);1
присылать\slash прислать;;envoyer;send;0
приходить\slash прийти;;venir;come;1
пробовать\slash по-;;essayer;try;0
проверять\slash проверить;;vérifier;examine;0
проводить\slash провести;;conduire;lead;0
провожать\slash проводить;;проводить II;see (off);0
проглатывать\slash проглотить;;avaler;swallow;0
программировать\slash за-;;programmer;programme;0
продавать\slash продать;;vendre;sell;0
продлевать\slash продлить;;prolonger;prolong;0
продолжать\slash продолжить;;continuer;continue;0
продолжаться\slash продолжиться;;durer;last;0
проезжать\slash проехать;;passer;pass;0
проживать\slash прожить;;vivre;live;1
проигрывать\slash проиграть;;perdre;lose;0
производить\slash произвести;;faire;make;0
произносить\slash произнести;;prononcer;pronounce;0
происходить\slash произойти;;avoir lieu;take place;1
промалчивать\slash промолчать;;se taire;be / keep silent;1
прописывать\slash прописать;;ordonner;prescribe;0
прорабатывать\slash проработать;;fignoler;work (for some time);0
просить\slash по-;;demander;ask;0
простужаться\slash простудиться;;prendre froid;catch a cold;0
просыпать\slash проспать;;dormir;sleep (for some time);0
просыпаться\slash -;;se répandre;spill;0
проходить\slash пройти;;passer;pass;1
прочитывать\slash прочитать;;lire;read (for some time);0
прощать\slash простить;;pardonner;forgive;0
