verb;usage;transFr;transEn;yellow
пропускать\slash пропустить;;laisser passer;let pass / in / through;1
опускаться\slash опуститься;;tomber;sink;0
опускать\slash опустить;;baisser;lower;0
запускать\slash запустить;;lancer;launch;0
реагировать\slash от-;;réagir;react (to, upon);1
заботиться\slash по-;;prendre soin de;take care (of);0
молиться\slash по-;;prier;pray (to smb., for smth.);0
умолять\slash умолить;;supplier;entreat;0
молоть\slash с-;;moudre, dire des bêtises;grind, talk nonsense;0
пугать\slash *;;faire peur;frighten;0
преследовать;;poursuivre;pursue;0
исследовать;;étudier en détails;study in details;0
расследовать;;examiner;investigate;0
наследовать;;hériter de;inherit;0
посещать\slash посетить;;visiter;visit;0
орать\slash за-;;hurler;yell, scream;0
врать\slash со-;;mentir;lie;0
демонстрировать;;manifester;demonstrate;0
продемонстрировать\slash продемнстрировать;;faire preuve de, démontrer;display, demonstrate;0
грозить\slash по-;;menacer;threaten, scold;0
тянуться\slash по-;;s’étirer;to reach;0
протягивать\slash протянуть;;tendre, prolonger;stretch, extend;0
натягивать\slash натянуть;;tirer, enfiler;stretch, pull on;0
руководить;;diriger;lead;0
связывать\slash связать;;lier;tie together;0
привязывать\slash привязать;;attacher à;tie (to);0
вязать\slash с-;;lier, tricoter;bind, knit;0
комментировать\slash про-;;commenter;comment (on, upon);0
рисковать\slash рискнуть;;risquer;run risks;1
страдать\slash по-;;souffrir;suffer (for a little);1
гарантировать;;garantir;guarantee;0
изображать\slash изобразить;;dépeindre, décrire;depict, picture;0
производиться\slash произвестися;;se faire;be made;0
воспроизводить\slash воспроизвести;;répéter, rejouer;reproduce, replay;0
покидать\slash покинуть;;quitter, abandonner;leave, abandon;0
кидаться\slash кинуться;;se jeter;throw / fling oneself;0
избегать\slash избежать;;éviter;avoid;0
сбегать\slash сбежать;;descendre en courant, s’échapper;run down / away;1
пробегать\slash пробежать;;parcourir;run about (for a certain time);1
угрожать;;menacer;threaten (with);0
вынашивать\slash выносить;;porter, endurer;carry, endure;0
