verb;usage;transFr;transEn;yellow
срать\slash по-;;chier;to shit;0
декламировать\slash про-;;dire;declaim;0
насмехаться;;se moquer de;mock (at);0
калечить\slash ис-;;mutiler;cripple;0
иронизировать;;ironiser;mock;1
сваливаться\slash свалиться;;tomber;fall down;0
отклонять\slash отклонить;;rejeter;deflect;0
повисать\slash повиснуть;;pendre;hang (by);1
изумлять\slash изумить;;étonner;amaze;0
высаживаться\slash высадиться;;descendre de;alight (from);0
воодушевлять\slash воодушевить;;animer;inspire;0
выслеживать\slash выследить;;suivre la trace de;track (down);0
проглядывать\slash проглядеть;;parcourir;overlook;0
компрометировать\slash с-;;compromettre;compromise;0
продвинуться\slash продвинуть;;faire avancer;move / push ahead / on / forward / further;0
запутывать\slash запутать;;embrouiller;(en)tangle;0
сосредоточивать\slash сосредоточить;;concentrer;concentrate;0
поселяться\slash поселиться;;se fixer;settle;0
смиряться\slash смириться;;se soumettre;humble;0
очаровывать\slash очаровать;;charmer;charm;0
приостанавливать\slash приостановить;;arrêter;stop;0
документировать;;documenter;document;0
дезертировать;;déserter;desert;1
выкачивать\slash выкачать;;pomper;pump out;0
бойкотировать;;boycotter;boycott;0
преуменьшать\slash преуменьшить;;amoindrir;underestimate;0
приукрашивать\slash приукрасить;;orner;decorate;0
свататься\slash по-;;rechercher en mariage;woo;0
заплетать\slash заплести;;tresser;braid;0
оснащать\slash оснастить;;gréer;rig (out, up);0
попрошайничать;;quémander;beg;1
предназначать\slash предназначить;;destiner à;intend (for);0
зачерпывать\slash зачерпнуть;;puiser;scoop;0
сотворять\slash сотворить;;créer;create;0
узаконивать\slash узаконить;;légaliser;legalize;0
визировать;;viser;visa;0
растаможивать\slash растаможить;;dédouaner;get customs clearance for;0
велеть;;ordonner de;order;1
биться\slash побить;;se battre;fight;0
даваться\slash даться;;se laisser;let oneself;0
сметь\slash по-;;oser;dare;1
гнать;;chasser;drive;0
стоять\slash по-;;rester debout (quelque temps);stand (for a while);1
уверять\slash уверить;;assurer convaincre de;assure (of);0
пребывать\slash пребыть;;être;stay;1
миновать;;passer;pass;0
носить\slash понести;;porter;carry;0
попадаться\slash попасться;;être pris;be caught;1
ходить\slash по-;;ressembler (à);be / look like;1
раздаваться\slash раздаться;;retentir;(re)sound;0
поделать;;faire;do;0
уделять\slash уделить;;donner;spare;0
разводить\slash развести;;reconduire;take (along);0
обстоять;;se trouver (situation);be;1
твориться\slash со-;;se faire;happen;0
жаждать;;avoir soif de;thirst (for, after);1
поведывать\slash поведать;;dire;tell;0
ступать\slash ступить;;marcher;step;1
гласить;;annoncer;say;1
поглядывать;;jeter des regards sur;cast a glance (at);1
сказываться\slash сказаться;;se donner pour;tell (on / upon);0
таскать\slash вы-;;porter;carry;0
виднеться;;se voir;appear;0
жаловать\slash по-;;conférer à;grant (to);0
питать\slash на-;;nourrir;nourish;0
влечь;;entraîner;drag;0
возиться\slash по-;;s'ébattre;romp;0
твердить;;répéter;sat / repeat over and over again;0
метаться\slash метнуть;;s'agiter;toss;0
ведать;;administrer;know;0
слыхать;;entendre;hear;0
обретать\slash обрести;;trouver;find;0
думаться\slash подумать;;sembler;seem;0
переть;;traîner (les pieds);to drag the feet;0
сливаться\slash слиться;;confluer;flow together;0
валить\slash по-;;faire tomber;through down;0
сбрасывать\slash сбросить;;jeter (bas);throw down;0
навязывать\slash навязать;;навязать I;tie (to, on);0
повиноваться;;obéir;obey (to);0
ныть;;faire mal (à, causer une douleur);ache;1
схватываться\slash схватиться;;saisir;seize;0
толковать\slash ис-;;interpréter;interpret;0
срываться\slash сорваться;;tomber;break / get away / loose;0
вопить;;(hurler, jeter pousser) les hauts cris;cry out;1
вырываться\slash вырваться;;s'échapper;break away / free / out / loose (from);0
представать\slash предстать;;comparaître;appear (before);1
мотивировать;;motiver;motivate;0
всматриваться\slash всмотреться;;scruter du regard;scrutinize;0
