verb;usage;transFr;transEn;yellow
трудиться\slash потрудиться;;travailler;work;0
стучать\slash постучать;;frapper;knock (at);0
увеличивать\slash увеличить;;agrandir;increase;0
отходить\slash отойти;;s'éloigner;go (away, aside);0
проезжать\slash проехать;;passer;pass;0
любить\slash полюбить;;aimer;come to love;0
заканчивать\slash закончить;;achever;finish;0
заболевать\slash заболеть;;tomber malade;begin to ache;1
замолчать;;se taire;keep quiet;1
делить\slash разделить;;diviser (en);divide;0
будить\slash разбудить;;réveiller;wake;0
разрешать\slash разрешить;;résoudre;permit;0
воспитывать\slash воспитать;;élever;bring up;0
забирать\slash забрать;;prendre;take away;0
запрещать\slash запретить;;défendre;forbid;0
надевать\slash надеть;;mettre;put on;0
резать\slash порезать;;couper;cut (up);0
знакомиться\slash познакомиться;;faire la connaissance de;meet;0
скучать;;s'ennuyer;be bored;1
ругать\slash выругать;;gronder;abuse;0
выезжать\slash выехать;;partir;leave;1
убирать\slash убрать;;enlever;take / put / clear away;0
различать\slash различить;;distinguer;distinguish;0
ночевать\slash заночевать;;coucher;pass / spend the night;1
отличать\slash отличить;;établir la différence (entre);distinguish (from);0
дружить;;être ami;be friends with;0
убегать\slash убежать;;s'enfuir;run away;1
путешествовать;;voyager;travel;1
возить\slash повезти;;transporter;convey;0
толкать\slash толкнуть;;pousser;push;0
прощаться\slash проститься;;faire ses adieux (à);take leave (of);0
преподавать\slash преподать;;enseigner;teach (to);0
заказывать\slash заказать;;commander;order;0
доезжать\slash доехать;;arriver jusqu'à;reach;1
купаться\slash выкупаться;;se baigner;take a bath;0
относить\slash отнести;;porter;take (to);0
варить\slash сварить;;cuire;cook;0
чистить\slash почистить;;nettoyer;clean;0
гладить\slash выгладить;;repasser;iron;0
уменьшаться\slash уменьшиться;;diminuer;diminish;0
извиняться\slash извиниться;;s'excuser;make excuses;0
поворачивать\slash повернуть;;tourner;turn;0
предъявлять\slash предъявить;;présenter;present;0
прибывать\slash прибыть;;arriver;arrive;1
присылать\slash прислать;;envoyer;send;0
соединять\slash соединить;;unir;unite;0
закрываться\slash закрыться;;se fermer;close;0
привыкать\slash привыкнуть;;s'habituer à;get/be accustomed;1
выбрасывать\slash выбросить;;jeter;throw out;0
стирать\slash стереть;;essuyer;wipe / rub off / out;0
кидать\slash кинуть;;jeter;throw;0
привозить\slash привезти;;amener;bring;0
