verb;usage;transFr;transEn;yellow
подчеркивать\slash подчеркнуть;;souligner;underline;not movement
подъезжать\slash подъехать;;arriver;drive / ride / draw / pull up;movement
поедать\slash поесть;;manger;поедать;not movement
пожимать\slash пожать;;presser;press;not movement
поздравлять\slash поздравить;;féliciter à l'occasion de;congratulate (on);not movement
показывать\slash показать;;montrer;show (to);not movement
покупать\slash купить;;acheter;buy;not movement
получать\slash получить;;recevoir;receive;not movement
получаться\slash получиться;;venir;come in;not movement
пользоваться\slash вос-;;jouir de;(make) use (of);not movement
помнить;;se souvenir de;remember;not movement
помогать\slash помочь;;assister;help;movement
понимать\slash понять;;comprendre;understand;not movement
поправлять\slash поправить;;réparer;repair;not movement
портить\slash ис-;;gâter;spoil;not movement
портиться\slash ис-;;casser;deteriorate;not movement
поступать\slash поступить;;agir;act;movement
посылать\slash послать;;envoyer;send;not movement
потеть\slash вс-;;suer;вспотеть;movement
почитать\slash почтить;;respecter;esteem;not movement
праздновать\slash от-;;fêter;celebrate;not movement
практиковаться\slash практиковать;;s'employer;practise;not movement
предлагать\slash предложить;;offrir;offer;not movement
представлять\slash представить;;présenter;present;not movement
представляться\slash представиться;;se présenter;occur;not movement
предупреждать\slash предупредить;;prévenir;give notice (of);not movement
предъявлять\slash предъявить;;présenter;present;not movement
прекращать\slash прекратить;;cesser;stop;not movement
прекращаться\slash прекратиться;;cesser;end;not movement
преподавать\slash преподать;;enseigner;teach (to);not movement
прибегать\slash прибежать;;accourir;come running;movement
прибивать\slash прибить;;clouer;fasten;not movement
приближаться\slash приблизиться;;s'approcher de;draw / come near;not movement
прибывать\slash прибыть;;arriver;arrive;movement
приветствовать;;saluer;greet;not movement
приводить\slash привести;;amener;bring;not movement
привозить\slash привезти;;amener;bring;not movement
привыкать\slash привыкнуть;;s'habituer à;get/be accustomed;movement
приглашать\slash пригласить;;inviter à;invite;not movement
придумывать\slash придумать;;inventer;think out;not movement
приезжать\slash приехать;;arriver;arrive;movement
приземляться\slash приземлиться;;atterrir;land;not movement
прикреплять\slash прикрепить;;fixer;fasten (to);not movement
прилетать\slash прилететь;;arriver;arrive (by air);movement
