verb,transFR
выслушивать\slash выслушать,écouter
поливать\slash полить,arroser
выращивать\slash вырастить,élever
задерживать\slash задержать,retenir
душить\slash за-,étouffer
притворяться\slash притвориться,fermer (à demi)
опережать\slash опередить,devancer
красить\slash вы-,peindre
накладывать\slash наложить,mettre sur
вздрагивать\slash вздрогнуть,tressaillir
парализовать,paralyser
пробегать\slash пробежать,parcourir
редактировать\slash от-,revoir
провоцировать\slash с-,provoquer
размещать\slash разместить,placer
сворачивать\slash своротить,rouler
оккупировать,occuper
распределять\slash распределить,distribuer
увлекать\slash увлечь,entraîner
прогнозировать,faire des pronost
отслеживать\slash отследить,suivre
копировать\slash с-,copier
вручать\slash вручить,remettre
застреливать\slash застрелить,tuer
шокировать,choquer
кусать\slash по-,mordre
сжигать\slash сжечь,brûler
объединяться\slash объединиться,s'unir
вскакивать\slash вскочить,sauter sur
стареть\slash по-,vieillir
тосковать,languir
разрывать\slash разорвать,déchirer
прибавлять\slash прибавить,ajouter
вынуждать\slash вынудить,contraindre
освобождаться\slash освободиться,se libérer
обдумывать\slash обдумать,bien méditer
топить\slash ис-,chauffer
накрывать\slash накрыть,couvrir de
нарезать\slash -,couper
проделывать\slash проделать,pratiquer
жертвовать\slash по-,donner
мигать\slash мигнуть,cligner
интерпретировать,interpréter
формулировать\slash с-,formuler
разыгрывать\slash разыграть,jouer
нанимать\slash нанять,louer
свистеть\slash свистнуть,siffler
образовывать\slash образовать,organiser
нырять\slash нырнуть,plonger
вывозить\slash вывезти,emporter
изолировать,isoler
убеждаться\slash убедиться,se convaincre de
щелкать\slash щелкнуть,faire claquer
настраивать\slash настроить,accorder
навещать\slash навестить,visiter
ронять\slash уронить,laisser tomber
завершаться\slash завершиться,s'achever
дразнить\slash по-,taquiner
кидаться\slash кинуться,se jeter
выстраивать\slash выстроить,bâtir
прижиматься\slash прижаться,se serrer
регистрировать\slash за-,enregistrer
тереть\slash по-,frotter
вредить\slash по-,nuire à
выживать\slash выжить,survivre
мириться\slash по-,se réconcilier
раскачиваться\slash раскачаться,se balancer
листать,feuilleter
приговаривать\slash приговорить,condamner (à)
расстреливать\slash расстрелять,fusiller
врываться\slash ворваться,врыться
устранять\slash устранить,écarter
манипулировать,manipuler
натягивать\slash натянуть,tendre
забираться\slash забраться,pénétrer
катить\slash по-,rouler
избивать\slash избить,battre
насиловать\slash из-,violer
закладывать\slash заложить,mettre
мстить\slash ото-,venger
преувеличивать\slash преувеличить,exagérer
беременеть\slash за-,devenir enceinte
вязать\slash с-,lier
напрягаться\slash напрячься,faire des efforts
прогонять\slash прогнать,pousser
сносить\slash снести,user
красть\slash у-,voler
совмещать\slash совместить,faire coïncider
распознавать\slash распознать,discerner
изобретать\slash изобрести,inventer
противиться\slash вос-,s'opposer à
перевозить\slash перевезти,transporter
истекать\slash истечь,s'écouler
вонять,puer
развлекать\slash развлечь,distraire
знакомить\slash по-,présenter à
активизировать,activer
прославляться\slash прославиться,se rendre célèbre
усаживаться\slash усесться,s'asseoir
загружать\slash загрузить,charger
выгонять\slash выгнать,chasser
гнаться,poursuivre
допрашивать\slash допросить,interroger
донашивать\slash доносить,донести I
запоминаться\slash запомниться,rester dans la mé
хвастаться\slash по-,se vanter
влезать\slash влезть,grimper (à)
избавляться\slash избавиться,se délivrer
транслировать,retransmettre
залезать\slash залезть,entrer
переворачивать\slash перевернуть,tourner
копить\slash на-,amasser
датировать,dater (de)
рулить,manœuvrer le gouv
разделяться\slash разделиться,se diviser (en)
реализовывать\slash реализовать,réaliser
генерировать,produire
злоупотреблять\slash злоупотребить,abuser de
подписываться\slash подписаться,signer
принуждать\slash принудить,contraindre
вскрывать\slash вскрыть,ouvrir
поручать\slash поручить,charger
предчувствовать,pressentir
подключать\slash подключить,brancher
погружать\slash погрузить,charger
сыпать,verser
заезжать\slash заехать,passer chez
чесать\slash по-,peigner
ускорять\slash ускорить,accélérer
завоевывать\slash завоевать,conquérir
ослаблять\slash ослабить,affaiblir
расходовать\slash из-,dépenser
упрощать\slash упростить,simplifier
рассчитываться\slash рассчитаться,régler ses compte
обновлять\slash обновить,renouveler
расследовать,examiner
недооценивать\slash недооценить,Sous-estimer
закреплять\slash закрепить,fixer
усыпать,couvrir
тестировать,tester
предавать\slash предать,livrer à
присваивать\slash присвоить,s'approprier
усваивать\slash усвоить,s'assimiler
удерживаться\slash удержаться,se retenir
классифицировать,classifier
списывать\slash списать,copier
катать\slash кататься,rouler
предотвращать\slash предотвратить,prévenir
изготавливать\slash изготовить,fabriquer
перемещать\slash переместить,déplacer
координировать,coordonner
воздерживаться\slash воздержаться,s'abstenir de
переделывать\slash переделать,refaire
оканчивать\slash окончить,finir
отделяться\slash отделиться,se séparer
худеть\slash по-,maigrir
экспортировать,exporter
модернизировать,moderniser
вычислять\slash вычислить,calculer
застывать\slash застынуть,застыть
наследовать,hériter de
мазать\slash из-,graisser
вмещать\slash вместить,contenir
храпеть,ronfler
тушить\slash по-,éteindre
задумывать\slash задумать,se proposer de
обосновывать\slash обосновать,argumenter
резюмировать,résumer
напиваться\slash напиться,étancher sa soif
удостоверять\slash удостоверить,certifier
разливаться\slash разлиться,se répandre
арестовывать\slash арестовать,arrêter
зажимать\slash зажать,serrer
брызгать\slash брызнуть,jaillir
расстраивать\slash расстроить,déranger
аргументировать,argumenter
заверять\slash заверить,assurer de
продумывать\slash продумать,examiner
застревать\slash застрять,rester
исчерпывать\slash исчерпать,épuiser
импортировать,importer
подбодрить\slash подбадривать,encourager
извещать\slash известить,informer
ввозить\slash ввезти,importer
ассоциировать,associer
приоткрывать\slash приоткрыть,entrouvrir
раскаиваться\slash раскаяться,se repentir (de)
аннулировать,annuler
суммировать,faire le total
подметать\slash подмести,balayer
моросить,bruiner
заставать\slash застать,trouver
намечать\slash наметить,marquer
образовываться\slash образоваться,se former
приподнимать\slash приподнять,soulever
молоть\slash с-,moudre
циркулировать,circuler
опрокидывать\slash опрокинуть,renverser
реформировать,réformer
чертить\slash на-,tracer
зависать\slash зависнуть,survoler
съезжать\slash съехать,descendre
сосредоточиваться\slash сосредоточиться,se concentrer
вышивать\slash вышить,broder
возобновлять\slash возобновить,recommencer
мочиться\slash по-,uriner
опрашивать\slash опросить,interroger
укрывать\slash укрыть,couvrir
основывать\slash основать,fonder
высасывать\slash высосать,sucer
сортировать\slash рас-,trier
преуспевать\slash преуспеть,réussir dans
загрязнять\slash загрязнить,salir
конвертировать,convertir
сигнализировать,donner des signau
загораживать\slash загородить,enclore
